Starting power measurement at 1ms intervals...
Number of GPUs: 1
Number of GPUs: 1
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.373342 , GPU Power: 59.127003 W , Interval: 10001 us ,Call: 2 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.386318 , CPU Power: 73.727997 W , Interval: 1000 us ,Call: 33 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.383340 , GPU Power: 59.127003 W , Interval: 9998 us ,Call: 3 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.387318 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 34 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.383340 , GPU Power: 59.127003 W , Interval: 9998 us ,Call: 3 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.388317 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 35 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.383340 , GPU Power: 59.127003 W , Interval: 9998 us ,Call: 3 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.389316 , CPU Power: 82.084167 W , Interval: 998 us ,Call: 36 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.383340 , GPU Power: 59.127003 W , Interval: 9998 us ,Call: 3 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.390317 , CPU Power: 81.838165 W , Interval: 1001 us ,Call: 37 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.383340 , GPU Power: 59.127003 W , Interval: 9998 us ,Call: 3 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.391317 , CPU Power: 73.727997 W , Interval: 1000 us ,Call: 38 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.383340 , GPU Power: 59.127003 W , Interval: 9998 us ,Call: 3 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.392317 , CPU Power: 73.801804 W , Interval: 999 us ,Call: 39 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.383340 , GPU Power: 59.127003 W , Interval: 9998 us ,Call: 3 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.393317 , CPU Power: 81.919998 W , Interval: 1000 us ,Call: 40 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.383340 , GPU Power: 59.127003 W , Interval: 9998 us ,Call: 3 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.394318 , CPU Power: 81.919998 W , Interval: 1000 us ,Call: 41 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.383340 , GPU Power: 59.127003 W , Interval: 9998 us ,Call: 3 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.395317 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 42 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.383340 , GPU Power: 59.127003 W , Interval: 9998 us ,Call: 3 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.396318 , CPU Power: 73.727997 W , Interval: 1000 us ,Call: 43 , 
Measured Type: gpu_power , Func Timestamp: 2024-11-15 06:42:24.393340 , GPU Power: 59.127003 W , Interval: 10000 us ,Call: 4 , 
Measured Type: cpu_power , Func Timestamp: 2024-11-15 06:42:24.397318 , CPU Power: 82.001999 W , Interval: 999 us ,Call: 44 , 
